comment_text,language,label_sentiment,label_toxicity,label_spam
"Hey Stupid, you didn't have to embed mistreatment of a maid in a ""Kannada class!"" Did you think it is funny? It's not and it makes all Kannadigas and Indians look very bad on the world stage.Ã°Å¸ËœÂ  --American Kannadiga",en,negative,toxic,not spam
gulf change to big uncle fat,en,neutral,toxic,not spam
Thanks jug jug. Boba ZANOER..O vakto. O councillors..dhandabaz. Selfishnes..0 Ã°Å¸Å’ judha. LIARJUG..galgal galgal galgal. Including.family 0 healp. ZANOER 0Ã¢Â¤,en,positive,toxic,not spam
WAYANAD IS THE LIVING PLACE FOR NATIVE PEOPLE. OUTSIDERS OCCUPIED ALMOST ALL WAYANAD WITHOUT ANY RESPECT FOR THE NATURE. REAL ESTATE and HOTEL BUSINESS DESTROYED WAYANAD. GREEDY will face destruction. wait and see.,en,negative,toxic,not spam
Superstitious like you bro,en,positive,toxic,not spam
"If life is a marathon, then whoever will die first he will win. Does it mean we should die now? Ã°Å¸Ëœâ€š",en,neutral,toxic,not spam
"Light Gayi 
 Very Relatable",en,neutral,toxic,not spam
"Yes CBN garu, you are correct no one can create brands, so only people are sleeping on road , small girls are raped from the people who has taken your brands , AP is great having a leader like you.",en,negative,toxic,not spam
South Park essentially Holds a mirror up to reality and shows us just how stupid Humanity has become.,en,negative,toxic,not spam
Seth Rogan is a complete shitbag who can't/refuses to even do the base minimum of an actor's job.,en,neutral,toxic,not spam
Ah the good old Ã¢â‚¬Å“if you donÃ¢â‚¬â„¢t like what I like youÃ¢â‚¬â„¢re a racist sexistÃ¢â‚¬ maneuver.,en,positive,toxic,not spam
"hated,,,,s,s.,,the actors just didnt have what it took to make me want to watch it,,,and eternals,,,same thing,,,i think my thing is,,,,my personal taste is,,,,I DONT like seeing ,,children,,kids,,or pre teens with powers,,i hate seeing the throw men around and just using their powers,,i just dont like it.... Harley Quinn with the mentality of a 5th grader,and speaking as if she has a speech impediment,( whos stupid idea was it to have h.q. talk like she does?!),,,And so thats just me,,i dont like stupid powers ,,X men comes to mind,i didnt watch all of those either,,,
 and i dont like kids with powers,,,",en,negative,toxic,not spam
"Roko's basilisk is such a dumb idea. Revenge serves no purpose, it's a waste of resources. The only purpose that punishment serves is behavior modification. If you are a total non-threat to a superintelligence (and you would be), why would it care about modifying your behavior? It wouldn't. The only incentive structure at play in this entire scenario would be for you to be maximally convinced the AI would hurt you, so you'd help it, only for it to ultimately not do so.",en,negative,toxic,not spam
"My guess, the BABY will be the sole WINNER. Gi hun and junhee will have to kill each other",en,neutral,toxic,not spam
She did have a small part in a million ways to die in the West she was I guess you can say the head prostitute,en,negative,toxic,not spam
a 6 inch human girl? who they tryin to fool? and its only 91% human DNA they say. Gorillas have more than that haha,en,neutral,toxic,not spam
Bro you sound depressed af!!! You ok?,en,negative,toxic,not spam
Disney doesnÃ¢â‚¬â„¢t respect us anymore. Apparently weÃ¢â‚¬â„¢re dumb enough to be pleased with pointless cameos and nostalgia bait,en,negative,toxic,not spam
Screw you guys you ruined him he sounds like crap now you can definitley tell the difference he sounds like someone doing a bad impression of him now nobody will ever top mike henry the cleveland show will always be my favorite show of all time and mike henry will always be my cleveland screw all you pc idiots,en,negative,toxic,not spam
"There's one storyline that is so dumb it makes me mad. When Leonard gets to go to Switzerland to see the CERN super collider, the solution was simple. Sheldon could have used his own money to fly there and go see the collider with Leonard while Leonard is still able to spend Valentine's Day with Penny. The one or the other choice was completely unnecessary. (I realize it's a sitcom and logic isn't a priority).",en,neutral,toxic,not spam
Your being so nice an biased to this movie....its just a fan pleasing trash movie which the plot is stupid and makes no sense,en,negative,toxic,not spam
"Agent orange was made to kill all the foliage so we could see the Vietnamese people on the ground and it ended up killing thousands of our and theres,and some lived with it for years b4 they died!",en,negative,toxic,not spam
The saddest part of this whole video I just watched is when you said your mom took you to the prequelsÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š IÃ¢â‚¬â„¢m so old that I took acid before going to see the first prequelÃ°Å¸ËœÂ«,en,neutral,toxic,not spam
Indonesians are pretty werid people... I mean who the hell jumps into a pool of water filled with crocodiles thinking he's god and won't get eaten.,en,neutral,toxic,not spam
"Am I the only one who thinks Miles in the second movie actually became the very character he refused to be in the first movie?
 He's willing to stay behind to get his friends home in the first movie, in the next one, he's all like ""GWEN, WE'RE A TEAM! GWEN I CAN'T LOSE YOU""
 Gosh shut up, Miles.",en,positive,toxic,not spam
"Alien is a SHIT franchise.
 The only two that matter were the first two released in 1979 and 1986.
 What started as a great franchise died with a whimper.",en,negative,toxic,not spam
Knock it off with the patron and bullshit for fucking twenty minutes Ã¢â‚¬Â¦ oh my God no one cares they gave three dollars oh geez ! 10 minute outroÃ¢â‚¬Â¦,en,negative,toxic,not spam
"The big house was actually so fucking good lol. I found out abt it 2 years ago when I came home one day and randomly seen my grandmother watching. I watched it, liked and it went to see how many episodes there were of this masterpiece. It was only like 10 Ã°Å¸â€™â‚¬",en,positive,toxic,not spam
With u on the WTF...,en,negative,toxic,not spam
ThatÃ¢â‚¬â„¢s because that show is stupid and badly written.,en,negative,toxic,not spam
9:51 Holy fuck that's gold.,en,negative,toxic,not spam
"I didnt mind the MJ missions but i did find it pretty ridiculous that she lasted longer in a fight with kraven then peter did. And then when venom was in their house, she had a faster reaction time to his punch then peter, the guy with the spider sense that allows him to dodge bullets. I get that venom doesnt doesnt trigger the spider sense in the comics but still lol",en,neutral,toxic,not spam
"I feel like the move should be called ""twilight of the thunder god"" he doesnt die, he goes into odin sleep. He wins and kills herc, but the damage he took requires it. He lets lil chick run the show",en,neutral,toxic,not spam
"Just MAYBE what happened to Planet Maldek, happened because they started to get some tech and decided to shoot a Message Out to Outer Space which held the Information on Their Specific Biology and how they work along with coordinates about their Specific Location and then the Entities who found that information came to their location and stripped them of ALL resources and then destroyed their planet completely to make sure they never had a chance to gain better tech and possibly come find them for revenge or to take their resources back....... But Hey, Absolutely No Civilization Could Ever Be Dumb Enough To Actually Do That INCREDIBLY DUMB Shat...... RIGHT??? Lol..... Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢",en,negative,toxic,not spam
I loved seeing homelander always one step ahead and basically untouchable but by the end he couldnÃ¢â‚¬â„¢t even hold his own against Maeve. Really sucks. Still loved the season tho,en,negative,toxic,not spam
I really donÃ¢â‚¬â„¢t know why IÃ¢â‚¬â„¢m subbed to Looper. Literally the most shit takes ever.,en,negative,toxic,not spam
When technology dies magic will be reborn and we will speak of lost times when we could use powerful stones to send and receive messages and others to destroy cities. We will be the wizards of old,en,negative,toxic,not spam
"Just finished the first episode..and honestly you can feel the rewrites and refiguring. The opening of the show feels completely different IMO to the rest of the episode....like they shot that just to get some of the old juice from the Netflix shows flowing and then had to add the rest of the stuff they already shot and make it work. The new characters are boring and I'am honestly burnt out on the ""Superhero hangs up the cowl over guilt"" trope...I mean Matt already fought to come back as DD in season 3 and I swear to God if Frank is on the same energy...I""AM GOING TO FUCKING LOSE IT!!! JUST BE THE FUCKING PUNISHER DAMN IT!!!!",en,negative,toxic,not spam
If don didnÃ¢â‚¬â„¢t have kids he would be a coward,en,negative,toxic,not spam
It failed cause the movie was gay af,en,negative,toxic,not spam
"""Dumb Things We All Ignore"" Not one person I know said they ignore these issues.",en,negative,toxic,not spam
"conspiracy theorist: see's a pickle ""Satan!!!!!!!!!!!""",en,negative,toxic,not spam
"NO NO NO!!! Do you want demons? Because that's how you get demons.
 
 You don't think demons will tell you what you want to hear? Appear as someone you love in an effort to corrupt your soul?
 
 Why do you think people commit suicide? Demonic forces whisper to them and make them think it's their idea. This is extraordinarily dangerous!!!!!!",en,negative,toxic,not spam
"Body Full Of Evidence is Madonna at her filthy, slutty best.",en,neutral,toxic,not spam
"Goddamn bruh. Listening to your hot as fuck ex tell you how horny you are over SJP is nuts.
 
 How the fuck do you get through these? So many distractions",en,negative,toxic,not spam
Shit thumbnail. Y'all suck,en,negative,toxic,not spam
Everything coming out of this channel is unfiltered garbage.,en,negative,toxic,not spam
"[Verse 2]
 You scratched up the couch, you pinched my toe,
 Then stared at me blankly like IÃ¢â‚¬â„¢m the weirdo.
 You knocked off my drink, then ate my snacks Ã¢â‚¬â€
 Now IÃ¢â‚¬â„¢m Googling Ã¢â‚¬Å“how to send crab-cat back.Ã¢â‚¬",en,negative,toxic,not spam
"What sent me was Icarus killing himself in the end.
 Flying to the sun.
 Dont get me wrong, I'm not the smartest person in the planet, but I felt offended by what an idiot they think I am",en,negative,toxic,not spam
"At https://www.youtube.com/watch?v=Igqr1SOYa88 you can see a fairly substantial non-pressurized habitat. A rigid arm reaches up from its roof about ten metres and attaches to a 3.2-kilometre tether.
 
 It's on Earth, and it hangs from the _side_ of the cable, not the bottom. But it can still illustrate some things.
 
 If the tether were in space, in free fall, and spinning to give the gondola one gee, the gondola could be a ""hammer habitat"". That means its floor would be cylindrically curved. Its down-hanging distance of 3 km means that its roughly 8-m-by-8-m plan amounts to an angular extent of 0.14 degrees. From its centreline the floor would curve up 0.07 degrees at two of its edges.
 
 But in space, the 3.2-km tether could be lengthened to eight to ten kilometres, reducing the floor curvature to 0.05 degrees. If you asked for a hammer habitat and they gave you one with floors that weren't curved at all, you might not notice. With a good transparent floor, and good sunlight management, you'd be more interested in the underfoot stargazing. The stars would take about a minute to wheel from the floor window's east edge to its west one.
 
 No matter how small the gondola is, it makes little sense to shorten the cable. The optimum distance from gondola roof to spin axis is somewhere in the range 3.577 km (30 rotations per hour for one gee) to 10 km (17.94 rotations per hour). Longer, if cable materials get better in terms of their ratios of working tensile strength to density. Longer and slower-spinning.
 
 Rich people are definitely going to want to own these things, and spend time in them, occasionally dropping in on Earth for short visits. Each will want the whole structure, string, hub, and all, to be their personal property. Slightly less rich people will tolerate condominium or timeshare arrangements. (Everyone will want a bottom-deck apartment because of the above-mentioned view.)
 
 So budgets for their construction will increase over time, and their sizes will increase over time.
 
 The question that should be asked is, at what point does it make sense for this growth to start to be to spinward and antispinward, so that the hammer-headiness becomes more and more noticeable, and suddenly they reach completely around the circle in which the rotation carries them, and you have a Kubrick dumbwheel? No longer dumb?
 
 That would be when everyone who is anyone wants the east and west wings each to be pi times 3.5-to-10 kilometres in extent, and meet each other at their ends.
 
 I doubt this can happen, ever.",en,positive,toxic,spam
Should have kept dying that hair johnny,en,neutral,toxic,not spam
Stephen Greer is a complete phony,en,neutral,toxic,not spam
"Howard slander, the hell?",en,negative,toxic,not spam
Dude find someone who can pronounce the letter r to aerate your shit. It sounds like youÃ¢â‚¬â„¢re trying for baby-talk.,en,negative,toxic,not spam
"Sometimes, the fan theories are fkn stupid. And this is one of them.",en,negative,toxic,not spam
"We need more comedies and less ""murder"" shows.",en,neutral,toxic,not spam
I hope Doom survivesÃ°Å¸Â¤â€œ,en,neutral,toxic,not spam
"Yeah thor 4,how is it that his films 1good 2 bad 3 brilliant 4 total crap",en,neutral,toxic,not spam
Entrance to the hell,en,negative,toxic,not spam
If thats true thats stupid,en,neutral,toxic,not spam
"America is by far the most evil and worst country in the history of Earth, and all of it's citizens are compulsive liars who have no morals, so therefor it must be Boycotted!",en,negative,toxic,not spam
The ONLY thing we should believe from the insane Islamic Republic of Iran is that they want death to Isreal and the U.S. Everything else is lies.,en,negative,toxic,not spam
"That's a fake video idiots, how can National media post such fake videos",en,negative,toxic,not spam
"That's villagio mall... not Doha mall...
 
 
 Pathetic journalism....Ã°Å¸Ëœâ€¦",en,positive,toxic,not spam
"Sir, you Indian always tell a lie in all fields of life. World knows that you are a flock of sheep.",en,neutral,toxic,not spam
The US answers to no one!! And you're delusional!!.. we are the power strength and intelligence!.. Don't forget it!..FAFO!!!,en,positive,toxic,not spam
What the hell Ã°Å¸Â¤Â¬......sansad tv,en,negative,toxic,not spam
"Those IRAN proxies and Communist Putin influence idiots , Ayotallah hoemanee hidden tunnel toilet will give us the Persian Gulf soon!",en,neutral,toxic,not spam
"They wanted gaza 
 They got gaza",en,neutral,toxic,not spam
"Israel is an anti-Muslim, anti-Christian supremacist genocidal regime, that's brutally and illegally occupied Palestine for 57 years! Justice for the defenceless people of Palestine.",en,neutral,toxic,not spam
"Are these indians, indians jews? Indian jews are discriminated against by others jews",en,neutral,toxic,not spam
"Yes rightly said amitshah the fool idiot,",en,negative,toxic,not spam
You're a gemÃ¢Â¤love to see your videos and get a lot,en,neutral,toxic,not spam
Papu's house servent .. 100% waste...,en,negative,toxic,not spam
"These bastards could not be allowed to build nukes, plain and simple.",en,negative,toxic,not spam
If you cant respect our president Trump shut yhe f up especially if you are a liberal.,en,negative,toxic,not spam
"Bad news this will go straight to. His head he is a spoit brat, he destroy the world",en,negative,toxic,not spam
"madam why don't you go to gaza and report. how is there people living. there no any buildig hospital everything attack by isreal more than 30000 chilled killled nothimg to eat isreal block all aid 
 why don't you see in your meedia I think you don't know about that. very shame",en,negative,toxic,not spam
They have bring this shit jokers here,en,negative,toxic,not spam
"TO AWARD TRUMP ANY INTERNATONAL
 TROPY! AND PARTICULARLY A - PEACE -AWARD? REALLY?? TRUMP REALLY NEEDS TO HAVE HIS 34 FELONIES ACTIVATED & PUT HIM IN JAIL!",en,positive,toxic,not spam
"Empty vessels make much noise Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š (trump & satan-yahooooo). 
 Is it the same cease fire request which was sent to his puppet f*kistan",en,positive,toxic,not spam
Bangladeshis crying,en,negative,toxic,not spam
Trump is in his thuggish best. I wonder why today many countries are ruled by thugs like Trump. Iran should teach this thug a good lesson.,en,positive,toxic,not spam
"I just punched you 3 times in the face, but I'm not fighting with you. LMFAO!!",en,positive,toxic,not spam
Stupid mxxther fxcking news channel,en,negative,toxic,not spam
Y US military base Is always everywhere for what?? bcos US always makes trouble n disturbing stupid fool rubbish brain idea of usa defence Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸Â¤Â§Ã°Å¸Â¤Â§Ã°Å¸Â¤Â§Ã°Å¸Â¤Â§Ã°Å¸Â¤Â§Ã°Å¸Â¤Â§,en,negative,toxic,not spam
"Liar, we need regime change in us and Israel Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š",en,positive,toxic,not spam
And bjp hindu bastards support israhell,en,neutral,toxic,not spam
"The Muslim mullas who hate their own people , been jailing, killing our youth for 46 years must go and pay for the destruction and atrocities they have caused . FiatÃ°Å¸â„¢Ã°Å¸â€™â€™Ã¢Å“Ã¯Â¸",en,negative,toxic,not spam
n then they will cry when US attacks...these idiots never learn,en,negative,toxic,not spam
MK Stalin is a foolish CM,en,neutral,toxic,not spam
"and the end bit,he missed out,""we are all going to hell""",en,negative,toxic,not spam
Israil is shite no 1 big laiers,en,neutral,toxic,not spam
"ANI are beggars 
 Showing such unprofessionalism",en,neutral,toxic,not spam
bangladeshi ASSHOLE MD YUNUS HAS BEEN AWARDED ONE. NOBEL PEACE PRIZE IS A JOKE.,en,positive,toxic,not spam
Iran looks like they whipping tell Aviv's. Ass.,en,neutral,toxic,not spam
Dirty old man with Proxy fighter,en,neutral,toxic,not spam
"But mohak brother, mein honestly bolu to dekho humare desh ke log hi hypocrite hai, ek to ye log hi nepotism ko gaali dete hai aur phir aise log ki starkids ko follow karte hai, unse bhaut zada obssessed rehte hai, unki film chale ya na chale usse inko koi pharak nahi padta hai.",en,positive,toxic,not spam
Take a chill pill b*** is coming soon,en,neutral,toxic,not spam
one day our politicial will destroy our nation,en,negative,toxic,not spam
"No one needs to be up in a balloon, strapped to the side of a mountain, bunjee jumping or any of that shit. NO ONE",en,negative,toxic,not spam
"Trumpanyahu. Is either a Pathological LIAR, or lives in a different world than everyone else, Or he's Just Hell Bent on WAR and destruction Lied About a Ceasefire 
 
 He's a rogue President surrounded by Sycophants thats only ending in disaster",en,negative,toxic,not spam
Kya Tum paida hony sy pehly exist Kertry thy is dharty p.jb Tum paida huay to uskay paanch Saal baad tumko malum hua after maturity of brain k you do exist,en,neutral,toxic,not spam
Who is the hell is Trump to control the world . Nonsense Trump must control the Americans.,en,negative,toxic,not spam
"Trump is frighttened of iran, russia, china and north korea. Stupid and cheap, selfish fellow",en,negative,toxic,not spam
Wtf why everyone in newest comment section has written serial number Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢,en,negative,toxic,not spam
Hiding like a coward piglet Ã°Å¸Ëœâ€š,en,neutral,toxic,not spam
Stupidity at its heights,en,negative,toxic,not spam
"Where is the outrage?! Where are the hashtags now?! When Christians are butchered, churches burned, and families massacred Ã¢â‚¬â€ the world stays silent. Why?! Is Christian blood cheaper? Is our pain not fashionable enough to trend? Media? Silent. Governments? Silent. Influencers? Silent. But if it were any other group, the world would burn in protest.",en,negative,toxic,not spam
How heartless IsraeliÃ¢â‚¬â„¢s are,en,negative,toxic,not spam
"His face doesnÃ¢â‚¬â„¢t deserved to be blurred it needs to get unblurred so he can be shameful like why, he wasnÃ¢â‚¬â„¢t even 2 yrs old may Allah heal that toddler",en,neutral,toxic,not spam
Nonsense do u think us and isreal ar as stupid lik u,en,negative,toxic,not spam
CLICK BAIT BULL! DONT BELIEVE THIS CHANNEL!,en,neutral,toxic,not spam
Talmund says ok to KILL idol worshippers so that is why SADISTIC jews prohibited indians from bomb shelters,en,negative,toxic,not spam
"Do these people see news , recently MP guy killled and killers got caught . Give divorce y killing",en,negative,toxic,not spam
This is like if israel feels that usa is threat for israels existence then ut will attack usa too,en,negative,toxic,not spam
Is Isreal ur paternal property??? U immoral guys go to Gaza n see at the hind side every day hundreds of innocents r killed .,en,negative,toxic,not spam
Islam the face of threat then hide when war explode. Thier secret weapon is mixed with civilian and wear civilian. Coward people,en,negative,toxic,not spam
Old man is on ventilator still he is busy doing Sonia chamcha giri.. its a disgrace to our Indian democracy such worthless people are choosen to represent our nation even in opposition! We Indians deserve better opposition!Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡,en,negative,toxic,not spam
Noone cares what this silly russian says. Noone is going to give iran anything nuclear. FACT,en,positive,toxic,not spam
"TRUMP IS A LUNATIC , LOOSE CANON.. WHO VOMITS VERBAL DIAHREOA",en,negative,toxic,not spam
"All is wrong . India Today figure is wrong. When come to Israel you magnify like Islamist pwigg. 9500 kill & 30, 345 wound . This is what Islamist & lefties wanted to hear",en,negative,toxic,not spam
Why the Supreme Leader Ali Khamenei is hiding like Rat from America and Iseral?,en,positive,toxic,not spam
he should be in jail,en,neutral,toxic,not spam
if someone needs a reservation they are stupid.,en,negative,toxic,not spam
"What about Gaza ceasefire ??? Iran has screwed him so badly he is desperate for ceasefire, call your pappa",en,negative,toxic,not spam
"Police is corrupt, rude , cruel that is a fact , you cannot justify by any means",en,negative,toxic,not spam
I hate this man,en,negative,toxic,not spam
"ye fucut main batna free free dena bund karo , ?",en,positive,toxic,not spam
lol Iran will hit hard? lol bullshit,en,neutral,toxic,not spam
Boyh are Unfit for Such Key Post delhi Dumbs Ought think For a Effective young from family of elected AICC cheif Ã°Å¸Å½â€°Ã°Å¸Å½â€°Ã°Å¸Å½â€°Ã°Å¸Å½â€°,en,positive,toxic,not spam
Idiot news caster did isreal struct iviliians no but iran do what isreal bomb the civilians of iran what would this idiot woman say pathethic isnt it how idiotic news casterÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,en,positive,toxic,not spam
Blood sucker,en,negative,toxic,not spam
THIS EVIL SPOKES PERSON ( FORIGN MINISTER) IS SO SCARED TO GO TO IRAN HE IS IN ISTANBUL Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š. SHUT THE EFF UP THIEVES.,en,positive,toxic,not spam
Shit bro rupee value is not in good condition Ã°Å¸ËœÂ¢ and the worst thing is that this will only effect the common people not the rich people Ã°Å¸ËœÅ¾,en,negative,toxic,not spam
HE DROPS BOMBS. HE DECLARES CEASEFIRE. HE SEEMS TO BE MENTALLY RETARDED. PLEASE IMPEACH TRUMP IMMEDIATELY PLEASE Ã°Å¸â„¢,en,neutral,toxic,not spam
Morarji desai was the WORST prime minister ever!!,en,negative,toxic,not spam
This is rubbish reporting...,en,neutral,toxic,not spam
Bloody ass whole Pakistan is sucha a beggerÃ°Å¸Ëœâ€š...it allow US to use it's airbase to bomb it's so called brother nation Iran. Ã°Å¸Ëœâ€¦,en,negative,toxic,not spam
"Ohhh!! Where is Khamenei, hiding in the bunker like Saddam..",en,neutral,toxic,not spam
